,result,table,_time,active_energy_Wh,Device_Name,_field,_measurement
,,0,2021-10-17T15:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T15:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T16:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T16:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T16:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T16:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T17:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T17:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T17:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T17:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T18:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T18:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T18:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T18:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T19:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T19:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T19:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T19:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T20:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T20:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T20:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T20:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T21:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T21:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T21:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T21:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T22:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T22:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T22:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T22:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T23:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T23:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T23:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T23:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-18T00:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-18T00:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-18T00:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-18T00:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-18T01:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-18T01:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
